part_id,machine_id,temperature_c,pressure_bar,cycle_time_s,shift,material_batch,operator_experience_years,vibration_mm_s,humidity_percent,scrap
P000001,M4,192.9,5.63,46.8,early,B1,0.6,1.91,48.9,0
P000002,M2,192.3,6.38,48.0,late,B4,1.6,2.56,41.3,0
P000003,M4,189.1,6.27,43.4,night,B2,2.0,1.86,39.7,0
P000004,M3,181.8,5.89,47.0,early,B4,2.6,2.9,39.4,0
P000005,M1,190.0,5.64,46.6,early,B3,2.5,2.34,43.7,0
P000006,M4,179.1,5.88,48.6,late,B2,4.0,2.17,41.1,0
P000007,M4,189.3,5.71,48.0,night,B3,4.1,2.25,57.8,0
P000008,M4,182.4,5.52,48.3,late,B1,3.4,1.97,28.4,0
P000009,M1,176.0,5.99,51.0,late,B4,3.4,2.76,48.9,0
P000010,M2,190.3,5.44,50.4,late,B2,1.7,3.58,52.2,0
P000011,M2,194.7,5.68,50.0,early,B2,2.7,2.08,40.3,0
P000012,M4,181.8,5.69,40.2,late,B1,7.6,2.97,46.1,0
P000013,M3,191.6,5.32,50.0,early,B2,2.5,2.19,45.3,0
P000014,M4,174.9,6.03,45.7,late,B2,6.4,3.07,47.4,0
P000015,M2,180.4,5.72,48.5,early,B2,4.0,1.92,53.3,0
P000016,M1,183.2,6.25,41.2,early,B5,2.3,2.4,52.6,0
P000017,M3,181.0,5.71,53.9,late,B2,3.7,2.12,43.2,0
P000018,M1,180.3,5.66,36.6,late,B1,3.1,2.6,36.0,0
P000019,M4,184.7,5.48,52.5,late,B3,2.7,2.53,49.3,0
P000020,M3,180.1,5.81,47.6,late,B2,2.3,2.31,42.7,0
P000021,M4,182.0,5.82,39.6,night,B3,5.8,2.45,43.8,0
P000022,M2,188.5,6.06,55.9,night,B4,6.5,3.45,49.8,0
P000023,M4,180.3,5.82,48.8,night,B1,1.8,2.42,44.5,0
P000024,M4,183.4,6.53,37.8,late,B3,2.4,2.89,50.5,0
P000025,M4,180.4,5.96,45.2,late,B1,11.6,2.78,68.1,0
P000026,M1,177.4,5.45,48.0,late,B1,5.4,2.7,53.5,0
P000027,M2,191.2,5.42,54.7,late,B1,3.8,2.29,58.8,0
P000028,M1,193.4,5.99,44.4,early,B1,1.8,2.62,52.1,0
P000029,M1,189.9,5.44,35.9,late,B2,3.0,2.45,48.6,0
P000030,M3,184.8,6.01,51.5,early,B5,7.2,1.76,52.2,0
P000031,M3,179.5,6.11,47.9,early,B5,3.1,2.2,51.8,0
P000032,M4,182.4,6.12,38.3,night,B1,1.8,3.53,54.9,0
P000033,M2,192.8,5.5,49.5,early,B5,2.3,2.57,48.5,0
P000034,M2,174.5,6.12,49.9,late,B4,8.6,2.58,37.5,1
P000035,M2,185.0,5.91,47.0,late,B3,3.2,2.95,36.3,0
P000036,M1,188.0,5.59,42.9,early,B4,3.9,2.06,51.7,1
P000037,M1,177.7,5.74,43.7,night,B3,0.4,2.36,39.0,0
P000038,M2,189.3,5.96,47.0,early,B2,2.1,2.55,53.5,0
P000039,M1,186.1,5.56,47.3,night,B3,2.8,2.48,58.7,0
P000040,M3,175.0,5.91,49.0,night,B4,2.2,2.27,46.2,0
P000041,M2,187.5,6.31,40.0,early,B4,8.1,3.63,57.7,0
P000042,M4,180.6,6.14,47.8,early,B1,4.1,2.52,50.1,0
P000043,M3,185.3,5.83,47.9,early,B5,2.1,2.2,48.2,0
P000044,M2,190.7,5.88,48.8,early,B2,3.9,3.21,48.6,0
P000045,M4,186.2,5.61,45.3,early,B5,4.1,1.87,41.4,0
P000046,M4,184.4,5.62,52.2,night,B2,2.7,3.26,40.3,0
P000047,M2,188.6,5.26,53.3,early,B1,4.1,2.31,34.8,0
P000048,M2,180.5,5.89,46.8,night,B5,1.3,3.29,42.1,1
P000049,M3,182.8,6.04,45.7,early,B3,2.8,2.96,65.1,0
P000050,M1,179.6,5.78,48.9,night,B2,8.2,2.06,36.1,0
P000051,M1,189.7,5.49,50.9,early,B1,8.2,2.11,38.6,0
P000052,M1,187.8,5.82,42.9,late,B1,1.9,2.25,41.6,0
P000053,M4,187.7,6.27,42.8,late,B1,3.6,2.78,41.9,0
P000054,M3,192.4,6.11,47.0,early,B5,1.7,1.85,50.2,0
P000055,M3,181.2,5.79,41.7,night,B1,2.8,2.25,43.1,0
P000056,M4,181.0,6.52,39.4,early,B1,3.8,2.36,46.4,0
P000057,M2,185.1,6.74,45.1,late,B5,5.5,2.23,41.2,0
P000058,M3,174.2,5.63,47.6,late,B5,4.8,1.83,44.2,0
P000059,M1,175.6,5.71,51.9,late,B2,4.5,2.36,47.5,0
P000060,M1,187.4,6.04,43.3,early,B4,6.0,2.35,46.9,0
P000061,M3,175.3,5.48,45.5,early,B3,4.3,1.96,63.8,0
P000062,M2,181.1,6.1,48.8,early,B3,6.2,2.79,47.8,0
P000063,M3,182.4,5.84,43.5,early,B2,4.5,2.01,46.3,0
P000064,M4,181.7,5.93,44.0,early,B4,2.8,3.09,28.0,0
P000065,M3,187.9,5.6,47.3,night,B5,2.1,2.25,49.9,0
P000066,M3,183.3,5.52,41.4,late,B4,6.4,2.79,32.2,0
P000067,M3,178.6,5.11,43.1,late,B5,0.6,1.54,52.4,0
P000068,M2,192.3,6.32,47.4,early,B1,4.2,2.9,49.1,0
P000069,M1,188.0,6.13,47.2,early,B4,2.7,2.57,54.4,1
P000070,M2,179.2,6.04,42.4,late,B5,1.3,2.69,42.9,0
P000071,M1,185.4,5.92,45.5,early,B3,1.2,2.06,48.2,0
P000072,M2,183.1,4.99,43.3,early,B5,2.6,2.68,53.4,0
P000073,M4,179.9,5.54,44.2,late,B2,4.2,2.83,40.6,0
P000074,M1,194.3,5.71,49.0,late,B5,5.3,1.76,52.9,0
P000075,M1,184.7,5.42,45.7,night,B5,4.3,2.62,52.5,1
P000076,M2,185.8,5.21,54.5,early,B4,0.3,2.89,46.9,0
P000077,M2,187.5,5.46,47.9,late,B4,4.2,2.63,60.6,0
P000078,M3,187.8,5.82,49.7,early,B3,1.2,2.2,52.1,0
P000079,M3,179.1,5.82,49.0,early,B2,1.5,2.33,34.6,0
P000080,M4,181.1,6.12,46.7,late,B3,1.1,3.25,55.9,1
P000081,M3,186.6,6.52,41.0,early,B5,5.4,2.46,42.7,0
P000082,M2,178.7,6.04,47.8,late,B1,1.7,2.33,54.4,0
P000083,M4,189.4,5.74,44.8,late,B2,7.0,2.3,50.4,0
P000084,M1,175.2,6.43,43.8,early,B3,6.6,1.78,26.9,0
P000085,M1,182.6,5.25,46.6,night,B2,3.2,1.45,52.8,0
P000086,M1,175.2,5.07,40.5,late,B4,4.2,1.78,46.2,0
P000087,M3,177.2,5.49,42.7,night,B2,2.7,2.35,44.3,0
P000088,M2,194.1,6.08,44.4,late,B4,8.0,3.32,44.6,0
P000089,M1,189.7,5.86,45.0,night,B1,11.1,2.75,54.3,0
P000090,M3,189.3,5.41,43.1,early,B2,0.6,1.78,40.6,0
P000091,M1,176.0,5.55,43.3,late,B4,2.0,1.94,56.9,1
P000092,M3,177.2,5.37,46.5,night,B3,0.7,1.88,35.8,0
P000093,M2,188.9,5.37,46.5,early,B4,0.9,1.59,50.4,0
P000094,M2,190.9,6.34,48.2,early,B4,2.8,2.67,54.2,0
P000095,M2,182.6,5.75,44.0,night,B2,8.2,3.11,54.0,0
P000096,M3,179.8,6.42,42.9,late,B3,0.8,2.19,49.5,1
P000097,M2,180.8,5.49,56.0,late,B5,4.0,2.18,46.3,0
P000098,M1,193.1,5.97,43.3,late,B5,6.4,1.92,43.6,0
P000099,M1,181.4,5.88,38.0,night,B1,4.3,2.15,38.2,0
P000100,M4,184.2,6.11,48.1,night,B4,3.3,2.85,42.5,0
P000101,M4,184.5,5.89,44.1,late,B3,2.1,2.42,40.3,0
P000102,M3,189.1,6.14,46.9,early,B1,3.6,2.59,39.0,0
P000103,M2,181.8,5.99,47.9,early,B4,0.7,2.71,62.4,0
P000104,M4,190.4,5.42,48.9,late,B1,9.3,2.61,34.2,0
P000105,M4,177.0,6.06,46.4,night,B2,4.2,2.08,57.0,1
P000106,M3,189.4,5.76,45.1,late,B4,5.1,1.99,38.1,0
P000107,M2,177.6,5.53,52.6,early,B5,2.2,2.18,39.8,0
P000108,M2,186.4,6.04,39.8,early,B3,4.2,3.02,39.7,0
P000109,M1,192.9,6.12,41.0,late,B5,4.7,2.17,39.1,0
P000110,M4,187.8,5.63,43.7,night,B5,3.1,0.88,55.4,0
P000111,M2,189.3,5.68,41.8,early,B3,3.3,2.97,52.7,0
P000112,M1,178.2,5.31,44.2,late,B1,1.3,2.74,46.1,0
P000113,M2,183.0,5.17,46.0,night,B4,11.2,2.38,69.7,0
P000114,M3,190.4,5.72,49.7,night,B1,2.2,2.52,47.9,0
P000115,M1,186.6,6.08,45.7,early,B5,2.4,2.21,48.5,0
P000116,M4,188.9,5.6,46.0,night,B2,9.6,1.55,42.5,0
P000117,M4,184.4,6.3,45.4,late,B4,5.2,3.38,41.6,0
P000118,M3,181.5,5.73,42.0,night,B4,5.9,2.21,43.7,0
P000119,M2,191.2,5.73,51.6,early,B3,1.2,2.84,54.8,0
P000120,M3,184.4,5.7,50.6,late,B5,4.2,2.02,52.6,0
P000121,M3,182.1,6.14,41.4,late,B4,1.2,2.17,58.3,0
P000122,M3,175.2,5.46,52.2,early,B5,1.9,2.37,42.3,0
P000123,M1,189.2,5.75,43.5,late,B1,12.0,1.83,52.7,0
P000124,M2,189.4,5.61,45.3,late,B3,1.6,3.51,50.4,0
P000125,M1,180.7,5.6,47.8,late,B5,5.8,2.68,51.5,0
