part_id,machine_id,temperature_c,pressure_bar,cycle_time_s,shift,material_batch,operator_experience_years,vibration_mm_s,humidity_percent,spec_compliance_status,violation_count,critical_violation_count,warning_violation_count,violated_requirement_ids,violation_summary,recommended_actions
NB000001,M2,196.2,6.55,54.1,night,B4,1.2,3.35,62.0,CRITICAL_VIOLATION,9,3,6,TEMP_MAX_WARNING; TEMP_MAX_CRITICAL; VIBRATION_MAX_WARNING; VIBRATION_MAX_CRITICAL; CYCLE_TIME_MAX_WARNING; CYCLE_TIME_MAX_CRITICAL; PRESSURE_MAX_WARNING; HUMIDITY_MAX_WARNING; LOW_OPERATOR_EXPERIENCE_WARNING,TEMP_MAX_WARNING: temperature_c=196.2 does not satisfy <= 190; TEMP_MAX_CRITICAL: temperature_c=196.2 does not satisfy <= 195; VIBRATION_MAX_WARNING: vibration_mm_s=3.35 does not satisfy <= 2.7; VIBRATION_MAX_CRITICAL: vibration_mm_s=3.35 does not satisfy <= 3.1; CYCLE_TIME_MAX_WARNING: cycle_time_s=54.1 does not satisfy <= 50; CYCLE_TIME_MAX_CRITICAL: cycle_time_s=54.1 does not satisfy <= 53; PRESSURE_MAX_WARNING: pressure_bar=6.55 does not satisfy <= 6.4; HUMIDITY_MAX_WARNING: humidity_percent=62 does not satisfy <= 60; LOW_OPERATOR_EXPERIENCE_WARNING: operator_experience_years=1.2 does not satisfy >= 2,"Review temperature control and cooling stability for affected records.; Escalate for engineering review and check thermal process settings.; Trend vibration and inspect tooling if the signal persists.; Perform engineering review of machine condition, tooling, and fixture stability.; Compare against setup records and operator notes.; Investigate machine condition and recent setup changes.; Inspect pressure regulation and tooling restrictions.; Check humidity controls and material storage conditions.; Use operator guidance, checklist support, or supervisor review."
NB000002,M1,184.0,5.75,45.5,early,B1,6.5,2.05,47.0,COMPLIANT,0,0,0,,,
NB000003,M4,190.8,5.95,50.8,late,B2,3.0,2.85,52.0,WARNING_VIOLATION,3,0,3,TEMP_MAX_WARNING; VIBRATION_MAX_WARNING; CYCLE_TIME_MAX_WARNING,TEMP_MAX_WARNING: temperature_c=190.8 does not satisfy <= 190; VIBRATION_MAX_WARNING: vibration_mm_s=2.85 does not satisfy <= 2.7; CYCLE_TIME_MAX_WARNING: cycle_time_s=50.8 does not satisfy <= 50,Review temperature control and cooling stability for affected records.; Trend vibration and inspect tooling if the signal persists.; Compare against setup records and operator notes.
NB000004,M3,172.5,5.35,44.2,early,B5,8.0,2.1,45.5,COMPLIANT,0,0,0,,,
NB000005,M2,188.6,6.2,48.7,night,B3,2.4,2.65,58.0,COMPLIANT,0,0,0,,,
NB000006,M1,181.2,5.6,43.8,early,B4,5.1,1.95,46.0,COMPLIANT,0,0,0,,,
NB000007,M3,187.5,5.9,46.0,night,B1,4.2,2.3,64.5,WARNING_VIOLATION,1,0,1,HUMIDITY_MAX_WARNING,HUMIDITY_MAX_WARNING: humidity_percent=64.5 does not satisfy <= 60,Check humidity controls and material storage conditions.
NB000008,M4,194.4,6.42,52.4,late,B4,1.8,3.05,59.0,WARNING_VIOLATION,5,0,5,TEMP_MAX_WARNING; VIBRATION_MAX_WARNING; CYCLE_TIME_MAX_WARNING; PRESSURE_MAX_WARNING; LOW_OPERATOR_EXPERIENCE_WARNING,TEMP_MAX_WARNING: temperature_c=194.4 does not satisfy <= 190; VIBRATION_MAX_WARNING: vibration_mm_s=3.05 does not satisfy <= 2.7; CYCLE_TIME_MAX_WARNING: cycle_time_s=52.4 does not satisfy <= 50; PRESSURE_MAX_WARNING: pressure_bar=6.42 does not satisfy <= 6.4; LOW_OPERATOR_EXPERIENCE_WARNING: operator_experience_years=1.8 does not satisfy >= 2,"Review temperature control and cooling stability for affected records.; Trend vibration and inspect tooling if the signal persists.; Compare against setup records and operator notes.; Inspect pressure regulation and tooling restrictions.; Use operator guidance, checklist support, or supervisor review."
NB000009,M1,185.1,5.82,46.2,early,B2,7.4,2.2,49.5,COMPLIANT,0,0,0,,,
NB000010,M2,191.6,5.05,51.7,late,B5,1.6,2.95,61.0,WARNING_VIOLATION,6,0,6,TEMP_MAX_WARNING; VIBRATION_MAX_WARNING; CYCLE_TIME_MAX_WARNING; PRESSURE_MIN_WARNING; HUMIDITY_MAX_WARNING; LOW_OPERATOR_EXPERIENCE_WARNING,TEMP_MAX_WARNING: temperature_c=191.6 does not satisfy <= 190; VIBRATION_MAX_WARNING: vibration_mm_s=2.95 does not satisfy <= 2.7; CYCLE_TIME_MAX_WARNING: cycle_time_s=51.7 does not satisfy <= 50; PRESSURE_MIN_WARNING: pressure_bar=5.05 does not satisfy >= 5.1; HUMIDITY_MAX_WARNING: humidity_percent=61 does not satisfy <= 60; LOW_OPERATOR_EXPERIENCE_WARNING: operator_experience_years=1.6 does not satisfy >= 2,"Review temperature control and cooling stability for affected records.; Trend vibration and inspect tooling if the signal persists.; Compare against setup records and operator notes.; Check pressure regulation, fixture condition, and feed stability.; Check humidity controls and material storage conditions.; Use operator guidance, checklist support, or supervisor review."
